district,community,date,count
宝山区,长江西路2230弄,"4月:10,11",2
宝山区,长江西路2311号,4月:5,1
宝山区,长江西路2322号,4月:8,1
宝山区,长江西路2700号,"4月:6,9",2
宝山区,长江西路380号,4月:6,1
宝山区,长江西路52弄,4月:9,1
宝山区,长江西路53弄,"4月:5,8",2
宝山区,长江西路720号,4月:9,1
宝山区,长江西路755号,"4月:8,9",2
宝山区,长江西路915号,"4月:11,13",2
宝山区,长江西路950号,4月:13,1
宝山区,长江西路96号,4月:9,1
宝山区,长江西路977号,4月:5,1
宝山区,长江西路999号,"4月:11,13",2
宝山区,长征新村,"4月:3,9,11",3
宝山区,场北路1079号,4月:9,1
宝山区,场北路107号,4月:6,1
宝山区,场北路399弄,"3月:24,28",2
宝山区,场北路39弄,"4月:2,3,5,8,9,11,13",7
宝山区,场北路548号,4月:6,1
宝山区,场北路550弄,3月:24,1
宝山区,场北路551弄,"4月:6,8,10,11",4
宝山区,场北路669弄,"4月:5,11",2
宝山区,场北路704号,"4月:8,9,11",3
宝山区,场联路188号,4月:8,1
宝山区,场南村,"4月:8,9",2
宝山区,场中村,4月:9,1
宝山区,场中路3426弄,4月:6,1
宝山区,场中路3656弄,4月:1,1
宝山区,场中路3658弄,"4月:2,5,6,8,9",5
宝山区,场中路4079弄,"4月:4,8",2
宝山区,场中路4098弄,4月:8,1
宝山区,场中路4099号,4月:12,1
宝山区,陈川路1051号,"4月:9,10,11",3
宝山区,陈川路168弄,"4月:4,13",2
宝山区,陈川路555弄,"3月:29,30; 4月:2,6,8,9,10,11",8
宝山区,陈川路777弄,"4月:3,10",2
宝山区,陈东路79弄,4月:2,1
宝山区,陈功路666弄,4月:9,1
宝山区,陈家行村,"3月:22,23,29; 4月:2,6,7,9,10,11,13",10
宝山区,陈巷村,"3月:29; 4月:6,7,8,9,13",6
宝山区,陈行村,"3月:29; 4月:6,10",3
宝山区,陈行街17弄,4月:9,1
宝山区,陈镇路158号,"4月:6,10",2
宝山区,陈镇路251号,4月:13,1
宝山区,城西二村,"3月:30; 4月:6,8,9",4
宝山区,城银路1号,4月:8,1
宝山区,城银路525号,4月:8,1
宝山区,城银路555号,3月:23,1
宝山区,城银路555弄,"4月:3,6,9,10,11",5
宝山区,城银路655弄,"3月:22,23,27; 4月:2,6,7,8,10",8
宝山区,城银路700号,"4月:6,8,10,13",4
宝山区,川念路58号,"4月:6,7,8",3
宝山区,川念路888号,"4月:4,7",2
宝山区,川沙村,"4月:2,9",2
宝山区,川雄路300号,4月:10,1
宝山区,春和路181号,3月:30,1
宝山区,春和路186号,4月:5,1
宝山区,春和路406号,4月:8,1
宝山区,春雷路136弄,"4月:8,9",2
宝山区,春雷路331弄,"4月:3,8,9,10",4
宝山区,春雷路332弄,4月:8,1
宝山区,春雷路354弄,"4月:3,6,8,9",4
宝山区,春雷路364号,4月:6,1
宝山区,春雷路431弄,"4月:9,10",2
宝山区,大华二村,4月:9,1
宝山区,大华二村二街坊,3月:21,1
宝山区,大华二村三街坊,3月:21,1
宝山区,大华二路268号,4月:8,1
宝山区,大华二路308号,4月:3,1
宝山区,大华二路689号,4月:2,1
宝山区,大华二路80号,3月:18,1
宝山区,大华路1355弄,"3月:29,30; 4月:6",3
宝山区,大华路1380弄,"4月:6,10",2
宝山区,大华路301弄,"3月:18,19,21; 4月:5,12",5
宝山区,大华路455弄,"3月:18,19,21,23,28,29; 4月:6,8,9",9
宝山区,大华路518号,4月:5,1
宝山区,大华路600号,4月:8,1
宝山区,大华路693弄,"4月:4,9,12",3
宝山区,大华路781弄,3月:31; 4月:8,2
宝山区,大华路869弄,3月:21,1
宝山区,大华路901弄,3月:30; 4月:5,2
宝山区,大华路928弄,4月:5,1
宝山区,大华路988弄,"3月:23; 4月:5,6,8",4
宝山区,大华路998弄,4月:5,1
宝山区,大华三路66号,4月:9,1
宝山区,大华三路81号,4月:9,1
宝山区,大康路251号,4月:9,1
宝山区,大康路632号,4月:8,1
宝山区,大康路700号,4月:9,1
宝山区,大康路829号,4月:8,1
宝山区,大康路891弄,"3月:21,23; 4月:2,3,4,8,9,11,12",9
宝山区,大康路896弄,"3月:28,29; 4月:5,9",4
宝山区,大陆村,4月:8,1
宝山区,大沙宅,3月:24,1
宝山区,大黄村,"4月:3,10",2
宝山区,丹霞山路257弄,"3月:24,26,28; 4月:5,9,11",6
宝山区,丹霞山路50弄,"3月:29; 4月:5,9",3
宝山区,德都路108号,4月:8,1
宝山区,德都路165弄,"4月:6,7,8,9",4
宝山区,德都路168弄,"4月:3,4,6,8,9,12",6
宝山区,德都路18号,4月:8,1
宝山区,徳都路218弄,3月:29,1
宝山区,德都路218弄,"4月:2,8,9,10",4
宝山区,德都路268弄,4月:11,1
宝山区,德都路269弄,4月:8,1
宝山区,德都路28弄,"3月:31; 4月:2,3,5,8,9,10,11",8
宝山区,德都路399弄,"4月:8,9",2
宝山区,德都路4号,4月:8,1
宝山区,德都路50弄,4月:10,1
宝山区,德都路58弄,"4月:2,8",2
宝山区,德都路88弄,"4月:3,4,6,8,9",5
宝山区,邓家弄,4月:10,1
宝山区,电台路378号,4月:5,1
宝山区,电台路398弄,4月:12,1
宝山区,电台路559弄,4月:1,1
宝山区,电台路568弄,"3月:26; 4月:8,11",3
宝山区,电台路599弄,"4月:3,4,5,6,8,9",6
宝山区,电台南路11号,4月:6,1
宝山区,东电台路28号,4月:11,1
宝山区,东方红村,4月:8,1
宝山区,东街村,"3月:26,27,28,30,31; 4月:2,3,4,6,7,8,9,10,11,12,13",16
宝山区,东界泾村,"3月:30; 4月:9,10,11",4
宝山区,东林路395弄,4月:8,1
宝山区,东林路589号,4月:5,1
宝山区,东林路84号,"4月:5,8",2
宝山区,东南弄村,"4月:8,9,10,11",4
宝山区,东南弄街124号,4月:10,1
宝山区,东升路6号,4月:8,1
宝山区,东升路70弄,3月:30; 4月:13,2
宝山区,东升路73号,3月:30,1
宝山区,东升路75号,4月:9,1
宝山区,东太东路777号,"4月:9,10",2
宝山区,东太东路838号,4月:9,1
宝山区,东太东路885号,4月:9,1
宝山区,东太路118号,4月:9,1
宝山区,东太路219弄,4月:7,1
宝山区,东太路241号,3月:29,1
宝山区,东太路260弄,"4月:8,11",2
宝山区,东太路362号,4月:9,1
宝山区,东太路44号,4月:9,1
宝山区,东太路498号,4月:3,1
宝山区,东太路80弄,"3月:28; 4月:7,9,10,11",5
宝山区,东西巷街189号,3月:29; 4月:3,2
宝山区,东西巷街79弄,"4月:9,11",2
宝山区,段泾村,"3月:23,26; 4月:2,4,6,8,9,10,12",9
宝山区,段泾路32号,4月:8,1
宝山区,鄂尔多斯路67弄,"4月:7,8,9,11",4
宝山区,鄂尔多斯路91弄,4月:8,1
宝山区,鄂尔多斯路98弄,"4月:2,3,7,8,9",5
宝山区,二纺老工房,"4月:8,10,11,13",4
宝山区,二纺新工房,4月:13,1
宝山区,帆远路55弄,4月:8,1
宝山区,繁荣村,"3月:30; 4月:6,7,8,9",5
宝山区,范家园新村,"3月:27; 4月:4,7,10",4
宝山区,飞云路171号,4月:6,1
宝山区,葑村村,"4月:8,9",2
宝山区,丰皓路138弄,"3月:28,30; 4月:5,8,9,10",6
宝山区,丰皓路633弄,"3月:28; 4月:6,8,10",4
宝山区,丰皓路658弄,"4月:3,6,7,8,9,12",6
宝山区,丰明村,"4月:7,8",2
宝山区,丰收村,"4月:5,8",2
宝山区,丰翔路1415号,3月:30; 4月:10,2
